2025-07-01 20:16:01.692241 | BTCUSDm | BUY | Entry: 105592.7 | TP: 105687.66 | SL: None | Lot: 0.01
2025-07-01 20:16:04.158295 | BTCUSDm | SELL | Entry: 105532.7 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:21:00.616730 | BTCUSDm | BUY | Entry: 105700.11 | TP: 105820.11 | SL: None | Lot: 0.01
2025-07-01 20:21:01.123101 | BTCUSDm | BUY | Entry: 105721.65 | TP: 105820.11 | SL: None | Lot: 0.01
2025-07-01 20:21:03.441182 | BTCUSDm | SELL | Entry: 105661.65 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:21:37.273937 | BTCUSDm | BUY | Entry: 105700.11 | TP: 105820.11 | SL: None | Lot: 0.01
2025-07-01 20:21:37.597950 | BTCUSDm | BUY | Entry: 105678.55 | TP: 105820.11 | SL: None | Lot: 0.01
2025-07-01 20:21:39.921345 | BTCUSDm | SELL | Entry: 105618.55 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:24:02.473847 | BTCUSDm | SELL | Entry: 105625.3 | TP: 105505.3 | SL: None | Lot: 0.01
2025-07-01 20:24:02.803071 | BTCUSDm | SELL | Entry: 105628.07 | TP: 105505.3 | SL: None | Lot: 0.01
2025-07-01 20:24:05.450724 | BTCUSDm | BUY | Entry: 105688.07 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:26:00.525946 | BTCUSDm | BUY | Entry: 105700.24 | TP: 105820.24 | SL: None | Lot: 0.01
2025-07-01 20:26:01.041002 | BTCUSDm | BUY | Entry: 105721.43 | TP: 105820.24 | SL: None | Lot: 0.01
2025-07-01 20:26:03.678893 | BTCUSDm | SELL | Entry: 105661.43 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:38:00.956892 | BTCUSDm | BUY | Entry: 105822.83 | TP: 105942.83 | SL: None | Lot: 0.01
2025-07-01 20:38:01.269900 | BTCUSDm | BUY | Entry: 105845.17 | TP: 105942.83 | SL: None | Lot: 0.01
2025-07-01 20:38:03.579906 | BTCUSDm | SELL | Entry: 105785.17 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:48:12.856913 | BTCUSDm | BUY | Entry: 105915.53 | TP: 106035.53 | SL: None | Lot: 0.01
2025-07-01 20:48:13.200915 | BTCUSDm | BUY | Entry: 105978.26 | TP: 106035.53 | SL: None | Lot: 0.01
2025-07-01 20:48:15.515014 | BTCUSDm | SELL | Entry: 105918.26 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:49:25.164527 | BTCUSDm | BUY | Entry: 105916.08 | TP: 106036.08 | SL: None | Lot: 0.01
2025-07-01 20:49:25.479761 | BTCUSDm | BUY | Entry: 105939.33 | TP: 106036.08 | SL: None | Lot: 0.01
2025-07-01 20:49:27.808014 | BTCUSDm | SELL | Entry: 105879.33 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 20:53:37.014198 | BTCUSDm | BUY | Entry: 105987.08 | TP: 106107.08 | SL: None | Lot: 0.01
2025-07-01 20:53:37.329201 | BTCUSDm | BUY | Entry: 105995.96 | TP: 106107.08 | SL: None | Lot: 0.01
2025-07-01 20:53:39.643470 | BTCUSDm | SELL | Entry: 105935.96 | TP: 0.0 | SL: None | Lot: 0.03
